id,postcode,locality,state
230,0200,ANU,ACT
21820,0200,Australian National University,ACT
232,0800,DARWIN,NT
233,0801,DARWIN,NT
234,0804,PARAP,NT
235,0810,ALAWA,NT
236,0810,BRINKIN,NT
237,0810,CASUARINA,NT
19972,0810,COCONUT GROVE,NT
239,0810,JINGILI,NT
240,0810,LEE POINT,NT
19973,0810,LYONS,NT
241,0810,MILLNER,NT
242,0810,MOIL,NT
19974,0810,MUIRHEAD,NT
243,0810,NAKARA,NT
244,0810,NIGHTCLIFF,NT
245,0810,RAPID CREEK,NT
246,0810,TIWI,NT
247,0810,WAGAMAN,NT
248,0810,WANGURI,NT
249,0811,CASUARINA,NT
19975,0812,ANULA,NT
19976,0812,BUFFALO CREEK,NT
19977,0812,HOLMES,NT
251,0812,KARAMA,NT
252,0812,LEANYER,NT
253,0812,MALAK,NT
254,0812,MARRARA,NT
255,0812,NORTHLAKES,NT
256,0812,SANDERSON,NT
257,0812,WOODLEIGH GARDENS,NT
258,0812,WULAGI,NT
259,0813,SANDERSON,NT
260,0814,NIGHTCLIFF,NT
261,0815,CHARLES DARWIN UNIVERSITY,NT
262,0820,BAGOT,NT
263,0820,BAYVIEW,NT
264,0820,CHARLES DARWIN,NT
265,0820,COONAWARRA,NT
266,0820,CULLEN BAY,NT
19978,0820,DARWIN DC,NT
268,0820,DARWIN INTERNATIONAL AIRPORT,NT
269,0820,DARWIN MC,NT
270,0820,EAST POINT,NT
19979,0820,EATON,NT
271,0820,FANNIE BAY,NT
272,0820,LARRAKEYAH,NT
273,0820,LUDMILLA,NT
274,0820,PARAP,NT
275,0820,RAAF BASE DARWIN,NT
276,0820,STUART PARK,NT
277,0820,THE GARDENS,NT
278,0820,THE NARROWS,NT
279,0820,WINNELLIE,NT
280,0820,WOOLNER,NT
281,0821,WINNELLIE,NT
282,0822,ACACIA HILLS,NT
19980,0822,ANGURUGU,NT
19981,0822,ANINDILYAKWA,NT
19982,0822,ANNIE RIVER,NT
19983,0822,BATHURST ISLAND,NT
286,0822,BEES CREEK,NT
19984,0822,BELYUEN,NT
19985,0822,BLACK JUNGLE,NT
19986,0822,BLACKMORE,NT
287,0822,BORDER STORE,NT
19987,0822,BURRUNDIE,NT
19988,0822,BYNOE,NT
19989,0822,BYNOE HARBOUR,NT
19990,0822,CAMP CREEK,NT
19991,0822,CHANNEL ISLAND,NT
19992,0822,CHARLES DARWIN,NT
19993,0822,CHARLOTTE,NT
19994,0822,CLARAVALE,NT
19995,0822,COBOURG,NT
19996,0822,COLLETT CREEK,NT
19997,0822,COOMALIE CREEK,NT
288,0822,COX PENINSULA,NT
289,0822,CROKER ISLAND,NT
290,0822,DALY RIVER,NT
291,0822,DARWIN MC,NT
19998,0822,DARWIN RIVER DAM,NT
19999,0822,DELISSAVILLE,NT
20000,0822,DOUGLAS-DALY,NT
20001,0822,EAST ARM,NT
20002,0822,EAST ARNHEM,NT
20003,0822,ELRUNDIE,NT
20004,0822,EVA VALLEY,NT
20005,0822,FINNISS VALLEY,NT
23937,0822,FLEMING,NT
20006,0822,FLY CREEK,NT
20007,0822,FREDS PASS,NT
20008,0822,GALIWINKU,NT
20009,0822,GLYDE POINT,NT
295,0822,GOULBOURN ISLAND,NT
20010,0822,GOULBURN ISLAND,NT
20011,0822,GUNBALANYA,NT
296,0822,GUNN POINT,NT
297,0822,HAYES CREEK,NT
20012,0822,HIDDEN VALLEY,NT
20013,0822,HOTHAM,NT
20014,0822,HUGHES,NT
20015,0822,KAKADU,NT
20016,0822,KOOLPINYAH,NT
20017,0822,LAKE BENNETT,NT
299,0822,LAMBELLS LAGOON,NT
20018,0822,LITCHFIELD PARK,NT
300,0822,LIVINGSTONE,NT
20019,0822,LLOYD CREEK,NT
20020,0822,MANDORAH,NT
301,0822,MANINGRIDA,NT
20021,0822,MARANUNGA,NT
20022,0822,MARGARET RIVER,NT
302,0822,MCMINNS LAGOON,NT
20023,0822,MICKETT CREEK,NT
303,0822,MIDDLE POINT,NT
20024,0822,MILINGIMBI,NT
305,0822,MILLWOOD,NT
20025,0822,MILYAKBURRA,NT
20026,0822,MINJILANG,NT
20027,0822,MOUNT BUNDEY,NT
20028,0822,MURRUMUJUK,NT
20029,0822,NAUIYU,NT
20030,0822,NEMARLUK,NT
20031,0822,NGANMARRIYANGA,NT
307,0822,NGUIU,NT
20032,0822,NUMBULWAR,NT
20033,0822,NUMBURINDI,NT
308,0822,OENPELLI,NT
20034,0822,PEPPIMENARTI,NT
20035,0822,PIRLANGIMPI,NT
309,0822,POINT STEPHENS,NT
20036,0822,POINT STUART,NT
310,0822,PULARUMPI,NT
311,0822,PULUMPA,NT
20037,0822,RAKULA,NT
20038,0822,RAMINGINING,NT
20039,0822,ROBIN FALLS,NT
20040,0822,RUM JUNGLE,NT
20041,0822,SANDPALMS ROADHOUSE,NT
313,0822,SOUTHPORT,NT
20042,0822,STAPLETON,NT
20043,0822,THAMARRURR,NT
20044,0822,TIPPERARY,NT
20045,0822,TIVENDALE,NT
20046,0822,TIWI ISLANDS,NT
20047,0822,TORTILLA FLATS,NT
20048,0822,TUMBLING WATERS,NT
315,0822,UMBAKUMBA,NT
20049,0822,VERNON ISLANDS,NT
316,0822,VIRGINIA,NT
317,0822,WADEYE,NT
318,0822,WAGAIT BEACH,NT
20050,0822,WAK WAK,NT
20051,0822,WARRUWI,NT
319,0822,WEDDELL,NT
20052,0822,WEST ARNHEM,NT
20053,0822,WICKHAM,NT
320,0822,WINNELLIE,NT
20054,0822,WISHART,NT
321,0822,WOOLANING,NT
20055,0822,WURRUMIYANGA,NT
322,0828,BERRIMAH,NT
323,0828,KNUCKEY LAGOON,NT
24048,0829,HOLTZE,NT
20056,0829,PINELANDS,NT
20057,0830,ARCHER,NT
326,0830,DRIVER,NT
327,0830,DURACK,NT
328,0830,FARRAR,NT
329,0830,GRAY,NT
330,0830,MARLOW LAGOON,NT
331,0830,MOULDEN,NT
332,0830,PALMERSTON,NT
333,0830,SHOAL BAY,NT
334,0830,WOODROFFE,NT
335,0830,YARRAWONGA,NT
336,0831,PALMERSTON,NT
20058,0832,BAKEWELL,NT
